m,q,n*(m),failure (2^x),pk (bytes),ct (bytes)
5,3329,14,-300.0,1952,2304
6,3329,14,-300.0,2336,2688
7,3329,14,-300.0,2720,3072
8,3329,15,-300.0,3104,3456
9,3329,15,-300.0,3488,3840
10,3329,15,-300.0,3872,4224
11,3329,15,-300.0,4256,4608
12,3329,15,-300.0,4640,4992
13,3329,15,-295.2,5024,5376
14,3329,15,-274.1,5408,5760
15,3329,15,-255.7,5792,6144
16,3329,16,-239.7,6176,6528
17,3329,16,-225.4,6560,6912
18,3329,16,-212.7,6944,7296
19,3329,16,-201.3,7328,7680
20,3329,16,-191.1,7712,8064
21,3329,16,-181.8,8096,8448
22,3329,16,-173.4,8480,8832
23,3329,16,-165.7,8864,9216
24,3329,16,-158.6,9248,9600
25,3329,16,-152.1,9632,9984
26,3329,16,-146.1,10016,10368
27,3329,16,-140.6,10400,10752
28,3329,16,-135.4,10784,11136
29,3329,16,-130.6,11168,11520
30,3329,16,-126.1,11552,11904
5,7681,14,-300.0,2112,2496
6,7681,14,-300.0,2528,2912
7,7681,14,-300.0,2944,3328
8,7681,15,-300.0,3360,3744
9,7681,15,-300.0,3776,4160
10,7681,15,-300.0,4192,4576
11,7681,15,-300.0,4608,4992
12,7681,15,-300.0,5024,5408
13,7681,15,-300.0,5440,5824
14,7681,15,-300.0,5856,6240
15,7681,15,-300.0,6272,6656
16,7681,16,-300.0,6688,7072
17,7681,16,-300.0,7104,7488
18,7681,16,-300.0,7520,7904
19,7681,16,-300.0,7936,8320
20,7681,16,-300.0,8352,8736
21,7681,16,-300.0,8768,9152
22,7681,16,-300.0,9184,9568
23,7681,16,-300.0,9600,9984
24,7681,16,-300.0,10016,10400
25,7681,16,-300.0,10432,10816
26,7681,16,-300.0,10848,11232
27,7681,16,-300.0,11264,11648
28,7681,16,-300.0,11680,12064
29,7681,16,-300.0,12096,12480
30,7681,16,-300.0,12512,12896
31,7681,16,-300.0,12928,13312
32,7681,17,-300.0,13344,13728
