m      min n    failure     pk (B)     ct (B)
3      4         -301.7       1184       1536
4      4         -231.1       1568       1920
5      4         -186.5       1952       2304
6      4         -155.9       2336       2688
7      4         -133.7       2720       3072
8      5         -208.3       3104       3456
9      5         -185.6       3488       3840
10     5         -167.2       3872       4224
11     5         -152.0       4256       4608
12     5         -139.2       4640       4992
13     5         -128.4       5024       5376
14     6         -173.1       5408       5760
15     6         -161.4       5792       6144
16     6         -151.2       6176       6528
17     6         -142.2       6560       6912
18     6         -134.1       6944       7296
19     7         -157.8       7328       7680
20     7         -149.8       7712       8064
21     7         -142.5       8096       8448
22     7         -135.9       8480       8832
23     7         -129.8       8864       9216
24     8         -139.9       9248       9600
25     8         -134.2       9632       9984
26     8         -128.9      10016      10368
27     9         -131.9      10400      10752
28     10        -131.1      10784      11136
29     11        -128.5      11168      11520
