m      n_failure    failure prob (2^x)
3      3            -300.0
4      3            -300.0
5      3            -300.0
6      3            -300.0
7      3            -300.0
8      3            -283.1
9      3            -251.6
10     3            -226.3
11     3            -205.5
12     3            -188.1
13     3            -173.4
14     3            -160.8
15     3            -149.8
16     3            -140.2
17     3            -131.7
18     4            -282.1
19     4            -267.3
20     4            -254.0
21     4            -241.9
22     4            -230.9
23     4            -220.8
24     4            -211.6
25     4            -203.0
26     4            -195.1
27     4            -187.8
28     4            -181.0
29     4            -174.7
30     4            -168.8
31     4            -163.2
32     4            -158.0
33     4            -153.1
34     4            -148.5
35     4            -144.2
36     4            -140.1
37     4            -136.2
38     4            -132.5
39     4            -129.0
40     5            -226.2
41     5            -220.7
42     5            -215.4
43     5            -210.3
44     5            -205.5
45     5            -200.8
46     5            -196.4
47     5            -192.2
48     5            -188.1
49     5            -184.2
50     5            -180.5
51     5            -176.9
52     5            -173.4
53     5            -170.1
54     5            -166.9
55     5            -163.8
56     5            -160.8
57     5            -157.9
58     5            -155.1
59     5            -152.4
60     5            -149.8
61     5            -147.3
62     5            -144.8
63     5            -142.5
64     5            -140.2
65     5            -138.0
66     5            -135.8
67     5            -133.7
68     5            -131.7
69     5            -129.7
70     6            -186.0
71     6            -183.3
72     6            -180.7
73     6            -178.2
74     6            -175.7
75     6            -173.3
76     6            -171.0
77     6            -168.7
78     6            -166.5
79     6            -164.4
80     6            -162.3
81     6            -160.2
82     6            -158.2
83     6            -156.3
84     6            -154.3
85     6            -152.5
86     6            -150.7
87     6            -148.9
88     6            -147.1
89     6            -145.4
90     6            -143.8
91     6            -142.2
92     6            -140.6
93     6            -139.0
94     6            -137.5
95     6            -136.0
96     6            -134.5
97     6            -133.1
98     6            -131.7
99     6            -130.3
100    6            -129.0
101    7            -158.7
102    7            -157.1
103    7            -155.5
104    7            -154.0
105    7            -152.5
106    7            -151.0
107    7            -149.6
108    7            -148.1
109    7            -146.7
110    7            -145.4
111    7            -144.0
112    7            -142.7
113    7            -141.4
114    7            -140.1
115    7            -138.9
116    7            -137.6
117    7            -136.4
118    7            -135.2
119    7            -134.0
120    7            -132.9
121    7            -131.7
122    7            -130.6
123    7            -129.5
124    7            -128.5
125    8            -143.4
126    8            -142.2
127    8            -141.1
128    8            -139.9
129    8            -138.8
130    8            -137.7
131    8            -136.6
132    8            -135.6
133    8            -134.5
134    8            -133.5
135    8            -132.4
136    8            -131.4
137    8            -130.4
138    8            -129.5
139    8            -128.5
140    9            -135.7
141    9            -134.7
142    9            -133.7
143    9            -132.7
144    9            -131.8
145    9            -130.9
146    9            -129.9
147    9            -129.0
148    9            -128.1
149    10           -131.3
150    10           -130.4
151    10           -129.5
152    10           -128.6
153    11           -129.8
154    11           -129.0
155    11           -128.1
156    12           -128.3
157    14           -128.2
