f(n),failure,classical,quantum,plausible
4,-70.5,949,861,673
5,-128.4,918,832,651
6,-186.4,899,815,637
7,-231.4,888,805,630
8,-260.4,882,800,626
9,-277.1,879,797,624
10,-286.1,878,796,622
11,-290.8,877,795,622
12,-293.1,876,795,622
13,-294.3,876,794,621
14,-294.9,876,794,621
15,-295.2,876,794,621
16,-295.4,876,794,621
17,-295.4,876,794,621
18,-295.5,876,794,621
19,-295.5,876,794,621
20,-295.5,876,794,621
21,-295.5,876,794,621
22,-295.5,876,794,621
23,-295.5,876,794,621
24,-295.5,876,794,621
25,-295.5,876,794,621
