n,failure (2^x),classical,quantum,plausible
256,-133.7,523,474,371
256,-237.1,538,488,381
256,-340.7,551,499,390
256,-422.9,562,509,398
256,-477.6,572,518,405
256,-510.0,580,526,412
256,-527.8,589,534,417
256,-537.2,596,541,423
256,-542.0,603,547,428
256,-544.5,610,553,432
256,-545.7,615,558,437
256,-546.3,621,563,441
256,-546.6,627,568,444
256,-546.7,632,573,448
256,-546.8,637,577,452
256,-546.9,641,582,455
256,-547.0,646,586,458
256,-547.0,650,590,461
256,-547.0,654,593,464
256,-547.0,658,597,467
256,-547.0,662,601,470
256,-547.0,666,604,472
256,-547.0,670,607,475
256,-547.0,673,610,477
256,-547.0,676,613,480
256,-547.0,680,616,482
256,-547.0,683,619,484
256,-547.0,686,622,487
256,-547.0,689,625,489
256,-547.0,692,627,491
256,-547.0,695,630,493
256,-547.0,698,633,495
256,-547.0,700,635,497
256,-547.0,703,637,499
256,-547.0,706,640,500
256,-547.0,708,642,502
256,-547.0,711,644,504
256,-547.0,713,647,506
256,-547.0,715,649,508
256,-547.0,718,651,509
256,-547.0,720,653,511
256,-547.0,723,655,512
256,-547.0,725,657,514
256,-547.0,727,659,516
256,-547.0,729,661,517
256,-547.0,731,663,519
256,-547.0,733,665,520
256,-547.0,735,667,522
256,-547.0,737,669,523
256,-547.0,739,670,524
256,-547.0,741,672,526
256,-547.0,743,674,527
256,-547.0,745,676,528
256,-547.0,747,677,530
256,-547.0,749,679,531
256,-547.0,751,681,532
256,-547.0,752,682,534
256,-547.0,754,684,535
256,-547.0,756,686,536
256,-547.0,758,687,537
256,-547.0,759,689,539
256,-547.0,761,690,540
256,-547.0,763,692,541
256,-547.0,764,693,542
256,-547.0,766,695,543
256,-547.0,768,696,545
256,-547.0,769,698,546
256,-547.0,771,699,547
256,-547.0,773,701,548
256,-547.0,774,702,549
256,-547.0,775,703,550
256,-547.0,777,705,551
256,-547.0,779,706,552
256,-547.0,780,707,553
256,-547.0,782,709,554
256,-547.0,783,710,555
256,-547.0,785,711,556
256,-547.0,786,713,558
256,-547.0,787,714,559
256,-547.0,789,715,559
256,-547.0,790,716,560
256,-547.0,792,718,561
256,-547.0,793,719,562
256,-547.0,794,720,563
256,-547.0,796,722,564
256,-547.0,797,723,565
256,-547.0,798,724,566
256,-547.0,799,725,567
256,-547.0,801,726,568
256,-547.0,802,727,569
256,-547.0,803,729,570
256,-547.0,805,730,571
256,-547.0,806,731,572
256,-547.0,807,732,572
256,-547.0,809,733,573
256,-547.0,810,734,574
256,-547.0,811,735,575
256,-547.0,812,736,576
256,-547.0,813,737,577
256,-547.0,814,739,578
256,-547.0,816,740,578
256,-547.0,817,741,579
256,-547.0,818,742,580
256,-547.0,819,743,581
256,-547.0,820,744,582
256,-547.0,821,745,583
256,-547.0,823,746,583
256,-547.0,824,747,584
256,-547.0,825,748,585
256,-547.0,826,749,586
256,-547.0,827,750,587
256,-547.0,828,751,587
256,-547.0,829,752,588
256,-547.0,830,753,589
256,-547.0,831,754,590
256,-547.0,832,755,591
256,-547.0,834,756,591
256,-547.0,835,757,592
256,-547.0,836,758,593
256,-547.0,837,759,593
256,-547.0,838,760,594
256,-547.0,839,761,595
256,-547.0,840,762,596
256,-547.0,841,762,596
256,-547.0,842,763,597
256,-547.0,843,764,598
256,-547.0,844,765,599
256,-547.0,845,766,599
256,-547.0,846,767,600
256,-547.0,847,768,601
256,-547.0,848,769,601
256,-547.0,849,770,602
256,-547.0,850,771,603
256,-547.0,851,771,603
256,-547.0,851,772,604
256,-547.0,853,773,605
256,-547.0,854,774,605
256,-547.0,854,775,606
256,-547.0,855,776,607
256,-547.0,856,777,607
256,-547.0,857,777,608
256,-547.0,858,778,609
256,-547.0,859,779,609
256,-547.0,860,780,610
256,-547.0,861,781,611
256,-547.0,862,781,611
256,-547.0,863,782,612
256,-547.0,864,783,613
256,-547.0,864,784,613
256,-547.0,865,785,614
256,-547.0,866,786,615
256,-547.0,867,786,615
256,-547.0,868,787,616
256,-547.0,869,788,616
256,-547.0,870,789,617
256,-547.0,871,789,617
256,-547.0,871,790,618
256,-547.0,872,791,619
256,-547.0,873,792,619
256,-547.0,874,793,620
256,-547.0,875,793,621
256,-547.0,876,794,621
256,-547.0,877,795,622
256,-547.0,877,796,622
256,-547.0,878,796,623
256,-547.0,879,797,624
256,-547.0,880,798,624
256,-547.0,881,799,625
256,-547.0,881,799,625
256,-547.0,882,800,626
256,-547.0,883,801,626
256,-547.0,884,802,627
256,-547.0,885,802,628
256,-547.0,885,803,628
256,-547.0,886,804,629
256,-547.0,887,805,629
256,-547.0,888,805,630
256,-547.0,889,806,630
256,-547.0,889,807,631
256,-547.0,890,807,631
256,-547.0,891,808,632
256,-547.0,892,809,633
256,-547.0,892,809,633
256,-547.0,893,810,634
256,-547.0,894,811,634
256,-547.0,895,811,635
256,-547.0,896,812,635
256,-547.0,896,813,636
256,-547.0,897,814,636
256,-547.0,898,814,637
256,-547.0,899,815,637
256,-547.0,899,815,638
256,-547.0,900,816,638
256,-547.0,901,817,639
256,-547.0,902,818,639
256,-547.0,902,818,640
